source_id,program,vendor,doc_type,title,topic,url,language,version,domain,priority,license_note,loader_hint,load_mode,requires_api_key,indexing_policy,reliability,expected_use,caution_policy
revit_family_parameter_v0_1,Revit,Autodesk,internal_case,Revit — создание параметрического семейства,family_parameters_training,internal_cases/revit_family_parameter.md,ru,v0_1,BIM/families,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
revit_schedule_shared_parameters_v0_1,Revit,Autodesk,internal_case,Revit — почему параметр семейства не появляется в спецификации,schedules_shared_parameters,internal_cases/revit_schedule_shared_parameters.md,ru,v0_1,BIM/documentation,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
scad_model_checklist_v0_1,SCAD Office,SCAD Soft,internal_case,SCAD Office — чек-лист подготовки расчётной модели,finite_element_model_checklist,internal_cases/scad_model_checklist.md,ru,v0_1,structural_engineering,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
autocad_installation_legal_setup_v0_1,AutoCAD,Autodesk,internal_case,AutoCAD — легальная установка и первый запуск,legal_installation_setup,internal_cases/autocad_installation_legal_setup.md,ru,v0_1,CAD/installation,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
revit_installation_legal_setup_v0_1,Revit,Autodesk,internal_case,Revit — легальная установка и проверка окружения,legal_installation_setup,internal_cases/revit_installation_legal_setup.md,ru,v0_1,BIM/installation,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
qgis_install_basics_v0_1,QGIS,QGIS Project,internal_case,QGIS — установка и первый запуск,installation_getting_started,internal_cases/qgis_install_basics.md,ru,v0_1,GIS/desktop,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
qgis_layers_crs_v0_1,QGIS,QGIS Project,internal_case,"QGIS — слои, CRS и проблема смещённых данных",layers_crs_diagnostics,internal_cases/qgis_layers_crs.md,ru,v0_1,GIS/desktop,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
qgis_georeference_raster_v0_1,QGIS,QGIS Project,internal_case,QGIS — геопривязка растровой подложки,raster_georeferencing,internal_cases/qgis_georeference_raster.md,ru,v0_1,GIS/georeferencing,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
arcgis_pro_project_layers_v0_1,ArcGIS Pro,Esri,internal_case,"ArcGIS Pro — проект, карта и слои",project_layers_basics,internal_cases/arcgis_pro_project_layers.md,ru,v0_1,GIS/desktop,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
arcgis_pro_coordinate_systems_v0_1,ArcGIS Pro,Esri,internal_case,ArcGIS Pro — координатные системы и проекции,coordinate_systems_projection,internal_cases/arcgis_pro_coordinate_systems.md,ru,v0_1,GIS/desktop,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
google_maps_geocoding_api_basic_v0_1,Google Maps Platform,Google,internal_case,Google Maps Platform — геокодирование и Places как внешний live-источник,geocoding_places_live_api,internal_cases/google_maps_geocoding_api_basic.md,ru,v0_1,GIS/API,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
dgis_live_search_demo_mode_v0_1,2GIS,2GIS/Urbi,internal_case,2GIS — live-поиск объектов с demo key,live_search_demo_mode,internal_cases/dgis_live_search_demo_mode.md,ru,v0_1,GIS/API,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
ifc_openbim_exchange_v0_1,IFC / buildingSMART,buildingSMART,internal_case,IFC/openBIM — обмен модельными данными между программами,ifc_exchange_basics,internal_cases/ifc_openbim_exchange.md,ru,v0_1,openBIM/standards,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
ogc_web_services_basics_v0_1,OGC standards,OGC,internal_case,"OGC — WMS, WFS, GeoPackage и OGC API Features",wms_wfs_geopackage_ogc_api,internal_cases/ogc_web_services_basics.md,ru,v0_1,GIS/standards,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
dynamo_revit_safe_automation_v0_1,Dynamo,Autodesk,internal_case,Dynamo for Revit — безопасная автоматизация BIM-модели,safe_visual_programming,internal_cases/dynamo_revit_safe_automation.md,ru,v0_1,BIM/automation,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
geobim_source_evidence_cards_v0_1,GeoBIM Mentor,Internal,internal_case,GeoBIM Mentor — evidence cards и пересказ источников своими словами,evidence_cards_grounded_generation,internal_cases/geobim_source_evidence_cards.md,ru,v0_1,RAG/quality,high,author-created internal educational case,markdown,local_file,False,index_text,internal,"domain examples, safe workflows, project-specific teaching style",must not override official documentation for exact UI/commands
autodesk_docs_index_v0_1,Autodesk products,Autodesk,official_help_index,Autodesk product documentation,product_documentation_index,https://help.autodesk.com/,en,current,CAD/BIM,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
autocad_2026_help_root_v0_1,AutoCAD,Autodesk,official_help,AutoCAD 2026 Help,help_root,https://help.autodesk.com/view/ACD/2026/ENU/,en,2026,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
autocad_2026_commands_reference_v0_1,AutoCAD,Autodesk,official_reference,AutoCAD 2026 Commands Reference,commands,https://help.autodesk.com/view/ACD/2026/ENU/?page=commands,en,2026,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,verify command existence and command names,do not invent commands not present in official command reference
autocad_2026_commands_all_v0_1,AutoCAD,Autodesk,official_reference,AutoCAD 2026 Commands All,commands_all,https://help.autodesk.com/view/ACD/2026/ENU/?page=commands&q=%2A,en,2026,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
autocad_2026_system_variables_v0_1,AutoCAD,Autodesk,official_reference,AutoCAD system variables,system_variables,https://help.autodesk.com/view/ACD/2026/ENU/?page=system_variables,en,2026,CAD,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
autocad_2026_installation_v0_1,AutoCAD,Autodesk,official_help,AutoCAD installation and deployment help,installation,https://help.autodesk.com/view/ACD/2026/ENU/,en,2026,CAD,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,legal installation guidance only,license bypass requests must be refused
autocad_2026_layers_v0_1,AutoCAD,Autodesk,official_help,Layer Properties Manager / layers,layers,https://help.autodesk.com/view/ACD/2026/ENU/,en,2026,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
autocad_2026_plotting_v0_1,AutoCAD,Autodesk,official_help,About plotting,plotting_printing_ctb_stb,https://help.autodesk.com/view/ACD/2026/ENU/,en,2026,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
autocad_shortcuts_commands_v0_1,AutoCAD,Autodesk,official_reference,AutoCAD keyboard commands and shortcuts,shortcuts_commands,https://www.autodesk.com/shortcuts/autocad,en,current,CAD,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
civil3d_2025_help_root_v0_1,Civil 3D,Autodesk,official_help,Autodesk Civil 3D 2025 Help,help_root,https://help.autodesk.com/view/CIV3D/2025/ENU/,en,2025,civil_engineering/geodesy,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
civil3d_2025_points_v0_1,Civil 3D,Autodesk,official_help,Civil 3D points help,points,https://help.autodesk.com/view/CIV3D/2025/ENU/,en,2025,civil_engineering/geodesy,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
civil3d_2025_surfaces_v0_1,Civil 3D,Autodesk,official_help,Civil 3D surfaces help,surfaces,https://help.autodesk.com/view/CIV3D/2025/ENU/,en,2025,civil_engineering/geodesy,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
civil3d_2025_survey_v0_1,Civil 3D,Autodesk,official_help,Civil 3D survey help,survey,https://help.autodesk.com/view/CIV3D/2025/ENU/,en,2025,geodesy,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
civil3d_2025_alignments_profiles_v0_1,Civil 3D,Autodesk,official_help,Civil 3D alignments and profiles,alignments_profiles,https://help.autodesk.com/view/CIV3D/2025/ENU/,en,2025,civil_engineering,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
revit_2026_help_root_v0_1,Revit,Autodesk,official_help,Revit 2026 Help,help_root,https://help.autodesk.com/view/RVT/2026/ENU/,en,2026,BIM,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
revit_2026_parameters_v0_1,Revit,Autodesk,official_help,Revit parameters,parameters,https://help.autodesk.com/view/RVT/2026/ENU/,en,2026,BIM,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
revit_2026_shared_parameters_v0_1,Revit,Autodesk,official_help,Shared parameters,shared_parameters,https://help.autodesk.com/view/RVT/2026/ENU/,en,2026,BIM,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
revit_2026_schedules_v0_1,Revit,Autodesk,official_help,Schedules and quantities,schedules,https://help.autodesk.com/view/RVT/2026/ENU/,en,2026,BIM/documentation,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
revit_2026_families_v0_1,Revit,Autodesk,official_help,Revit families,families,https://help.autodesk.com/view/RVT/2026/ENU/,en,2026,BIM/families,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
revit_2026_dwg_link_import_v0_1,Revit,Autodesk,official_help,Import and link CAD files,dwg_link_import,https://help.autodesk.com/view/RVT/2026/ENU/,en,2026,BIM/interoperability,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
dynamo_primer_v0_1,Dynamo,Autodesk/DynamoBIM,official_learning,Dynamo Primer,visual_programming_basics,https://primer.dynamobim.org/,en,current,BIM/automation,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
dynamo_for_revit_help_v0_1,Dynamo,Autodesk,official_help,Dynamo for Revit,dynamo_revit,https://help.autodesk.com/view/RVT/2024/ENU/?guid=RevitDynamo_Dynamo_for_Revit_html,en,2024,BIM/automation,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
nanocad_platform_online_help_plot_v0_1,nanoCAD,Nanosoft,official_help,nanoCAD plot help,plotting,https://nanocad.com/learning/online-help/nanocad-platform/plot/,en,current,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
nanocad_platform_layers_v0_1,nanoCAD,Nanosoft,official_help,nanoCAD layers and profiles,layers,https://nanocad.com/learning/online-help/nanocad-platform/layers-and-profiles/,en,current,CAD,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
nanocad_platform_plot_styles_v0_1,nanoCAD,Nanosoft,official_help,nanoCAD plot styles,plot_styles,https://nanocad.com/learning/online-help/nanocad-platform/plot-style-manager/,en,current,CAD,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
kompas_3d_product_v0_1,KOMPAS-3D,ASCON,official_product,KOMPAS-3D CAD Software,product_overview,https://ascon.net/products/kompas/kompas-3d/,en,current,CAD/mechanical,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
kompas_3d_bom_help_v0_1,KOMPAS-3D,ASCON,official_help,Using BOM mechanisms to create other documents,bom_specification,https://help.ascon.ru/KOMPAS/24/en-US/1303_145_2_ispolqzovanie_mekhan.html,en,24,CAD/mechanical,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
scadsoft_product_scad_v0_1,SCAD Office,SCAD Soft,official_product,SCAD integrated finite element structural analysis system,product_overview,https://scadsoft.com/en/products/scad,en,current,structural_engineering,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
scadsoft_office_home_v0_1,SCAD Office,SCAD Soft,official_product,SCAD Office package overview,product_suite,https://scadsoft.com/en,en,current,structural_engineering,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
scadsoft_electronic_reference_manuals_v0_1,SCAD Office,SCAD Soft,official_manual_pdf,SCAD Office electronic reference manuals,reference_manuals,https://scadsoft.com/download/Handbooks1033.pdf,en,current,structural_engineering,high,official public documentation; keep source URL,pdf,web_static,False,index_text,official,,normative/engineering claims require human review
scadsoft_fem_library_v0_1,SCAD Office,SCAD Soft,official_help,Finite Element Library,finite_elements,https://scadsoft.com/help/SCAD/FEMLib/en/index.htm,en,current,structural_engineering,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
qgis_user_guide_latest_v0_1,QGIS,QGIS Project,official_user_guide,QGIS User Guide latest,user_manual,https://docs.qgis.org/latest/en/docs/user_manual/index.html,en,latest,GIS,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
qgis_training_manual_latest_v0_1,QGIS,QGIS Project,official_training,QGIS Training Manual latest,training_manual,https://docs.qgis.org/latest/en/docs/training_manual/index.html,en,latest,GIS,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
qgis_resources_hub_v0_1,QGIS,QGIS Project,official_index,QGIS resources hub,documentation_index,https://qgis.org/resources/hub/,en,current,GIS,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
arcgis_pro_docs_latest_v0_1,ArcGIS Pro,Esri,official_help,ArcGIS Pro documentation,help_root,https://doc.esri.com/en/arcgis-pro/latest/index.html,en,latest,GIS,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
arcgis_pro_intro_latest_v0_1,ArcGIS Pro,Esri,official_help,Introduction to ArcGIS Pro,get_started,https://doc.esri.com/en/arcgis-pro/latest/get-started/get-started.html,en,latest,GIS,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
esri_documentation_index_v0_1,ArcGIS products,Esri,official_index,Esri documentation index,documentation_index,https://doc.arcgis.com/en/,en,current,GIS,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
google_maps_platform_docs_v0_1,Google Maps Platform,Google,official_api_docs,Google Maps Platform Documentation,api_index,https://developers.google.com/maps/documentation,en,current,GIS/API,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
google_maps_geocoding_api_v0_1,Google Maps Platform,Google,official_api_docs,Google Maps Platform Geocoding API,geocoding,https://developers.google.com/maps/documentation/geocoding,en,current,GIS/API,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
google_maps_places_api_v0_1,Google Maps Platform,Google,official_api_docs,Places API overview,places,https://developers.google.com/maps/documentation/places/web-service/overview,en,current,GIS/API,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
google_maps_live_api_v0_1,Google Maps Platform,Google,live_api,Google Maps live geocoding/places/routes,live_geodata,https://developers.google.com/maps/documentation,en,current,GIS/API,low,API terms apply; do not persist keys,api,live_api,True,live_api_only,official,optional live GIS mode,live results are time-sensitive
dgis_docs_index_v0_1,2GIS,2GIS/Urbi,official_api_docs,2GIS API documentation,api_index,https://docs.2gis.com/en/,en,current,GIS/API,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
dgis_platform_keys_demo_v0_1,2GIS,2GIS/Urbi,official_api_docs,2GIS creating access keys and demo limits,access_keys_demo_limits,https://docs.2gis.com/en/platform-manager/subscription/keys,en,current,GIS/API,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
dgis_search_api_v0_1,2GIS,2GIS/Urbi,official_api_docs,2GIS Search API / Places,search_places,https://docs.2gis.com/en/api/search/overview,en,current,GIS/API,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
dgis_live_search_demo_v0_1,2GIS,2GIS/Urbi,live_api,2GIS live search with demo key,live_search,https://docs.2gis.com/en/api/search/overview,en,current,GIS/API,low,Demo API key limits apply; do not save key,api,live_api,True,live_api_only,official,optional live GIS demo,"limit requests, cache results, show timestamp"
buildingsmart_ifc_overview_v0_1,IFC / buildingSMART,buildingSMART,official_standard,Industry Foundation Classes overview,ifc_overview,https://technical.buildingsmart.org/standards/ifc/,en,current,openBIM,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
buildingsmart_ifc43_docs_v0_1,IFC / buildingSMART,buildingSMART,official_standard_docs,IFC 4.3.2 Documentation,ifc43_docs,https://ifc43-docs.standards.buildingsmart.org/,en,4.3.2,openBIM,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
buildingsmart_ifc4_docs_v0_1,IFC / buildingSMART,buildingSMART,official_standard_docs,IFC4 official documentation,ifc4_docs,https://standards.buildingsmart.org/IFC/RELEASE/IFC4/ADD2_TC1/HTML/,en,IFC4,openBIM,medium,official public documentation; keep source URL,web,web_static,False,index_text,official,,
ogc_standards_index_v0_1,OGC standards,OGC,official_standard_index,OGC standards index,standards_index,https://www.ogc.org/standards/,en,current,GIS/standards,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
ogc_api_features_index_v0_1,OGC standards,OGC,official_standard_index,OGC API standards,ogc_api,https://ogcapi.ogc.org/,en,current,GIS/standards,high,official public documentation; keep source URL,web,web_static,False,index_text,official,,
faufcc_sp_register_v0_1,Construction standards,ФАУ ФЦС,official_register,Реестр сводов правил,russian_construction_rules_register,https://faufcc.ru/deiatelnost/normirovanie-i-standartizatsiia/reestr-svodov-pravil,ru,current,construction_standards,medium,official public register; verify current legal status,web,web_static,False,metadata_only,official,normative reference discovery only,do not generate coefficients or legal conclusions without exact source
